text,polarity
الفيلم الفيلم تم اسر المتفرج طوال مده العرض الموهبه الطاغيه احمد زكي العملاق فارقنا مبكرا رحل جسدا يرحل تاريخا سينماءيا ساطعا كشمس الظهيره الم تشعرون مثلي بان الفيلم يربطنا يسمرنا امام الشاشه بمغناطيسيه غريبه اخراج الراحل اكبير الطيب ام ان يعود الي منتصر بقي منتصرا حتي يقتل يقتل يتم قتله نهايه الحدوته المخابراتيه لمحمد وفيق ام ان سحر ينبعث الصوت الصعيدي ينوح بشجن يداعب القلوب بدون تفسير التوليفه السينماءيه الانسانيه الابداعيه ان دور الظابط النزيه مخيون اضاف اخر للقصه ام ان الراقصه العاشقه لعبت دورا محبتنا للقصه ام ان احمد زكي تفوق حتي علي نفسه خلال التحول المظلوم الطيب الي القاتل المتفوق هروبه المتكرر ام ان السبب تجسيد احمد زكي لشخصيه مركبه تتناغم بداخلها مشاعر المنكسر المظلوم الطيب الشريف القاتل القوي يءكد علي وجوده يفرض ارادته علي المجتمع يشاء لاحظتم ان الطفل البريء بقي حيا بداخل القاتل مراحل مغامرته المثيره الفيلم لماذا نشعر بقوته علي النحو حقيقه امتلك سوي التساءلات التساءلات وصف فيلم كهذا افضل بكثير الاجابات الفيلم تحفه حقيقيه للسينما المصريه القاتل الهارب الساعي لمحر عار زوجته سلكت سلوكا مشينا القاتل نفسه الابن المطيع سلم نفسه طوعا خشيه علي امه العجوز المريضه نفسه الصديق المخلص للظابط محاولا حمايته رصاص الامريكاني وفيق بجسده نفسه المعلق السماء الارض مستلقيا علي شبكه مربوطه الاشجار مراقبا للصقور المحلقه تساءلات لعلها تنتهي فيلم يتكرر احمد زكي يحتاج الي اي اشاده او شهاده مني او غيري تاريخه المرصع بجواهر سينماءيه يتكلم عنه افضل مننا جميعا كنقاد متخصصين او مشاهدين محبين للسينما قدرته المتفرده التقمص لكنه الهروب رايق المزاج استعرض بداخله طاقه عظيمه ختاما اود الاشاره الي جانب يكون غريبا الشيء مشاهدتي للفيلم لاكثر عشره مرات مرارا تكرارا اسال نفسي المشاهده باستطاعه العالمي يوسف شاهين اخراج مشهد بمثل جوده مشاهد الفيلم تساءلي انتقاصا ابدا الكبير شاهين العالمي لكنها تقدير اعتراف بقيمه الطيب,1
فيلم مصري الاصدقاء قررنا دخول فيلم بسبب عطل مفاجء يلغي عرض الفيلم واتجهنا الي الفيل الازرق بدلا تعنت مني اقرا الروايه او حتي ملخص بالتالي اكن متحمسا للفيلم ولم اعرف عنه الا معلومات البوستر القصه اكيد معروفه لاغلبكم فهذكرها باختصار طبيب نفسي ماتت زوجته وابنته حادثه سياره المتسبب ينطوي علي نفسه ويستكمل عالما الضياع المسكرات والمنبهات يضطر سنوات الحادث الي العوده للعمل ويتم تعينه قسم خاص بالمجرمين اصحاب الامراض النفسيه لتعين حالتهم يجد ملف شخص يعرفه ايام الجامعه متهم بقتل امراته الحامل طبيب نفسي ايضا يتولي مهمه كتابه تقرير الحاله مخفيا امر علاقته تتوالي الاحداث تبدوا تقليديه وتاخذك لاول وهله الي عالم المءامرات المعتاده مش دا اللي هيحصل الفيلم ملء بمءثرات جديده وغير معتاده تاريخ الافلام المصريه الحديثه المليءه بالهفا رتمه بطيء الي حد يشعرك بالملل المشاهد ممكن تاخد بالك الثغرات وينتهي الفيلم تاركا التساءلات بلا اجابه الاحداث شيقه بهدوء الغموض يبقي طي المجهول فقط لان النوعيه ينتمي اليها الفيلم تكون الاولي نوعها الافلام العربيه بالتالي متوقعه علي الاطلاق لمن يقرا الروايه ودا يغفر شويه لشغل سلق البيض اللي الاخر انهم ممكن يوفروا الوقت المشاهد الممطوطه وينتجوا عمل نكهه الكمال لان قفله الفيلم احيانا بتقفلك مجملا محاوله ممتازه ممكن تكون اول خطوه الارتقاء والتغير جو الافلام المصريه التقليدي والمحفوظ او ممكن برضه تكون سكه جديده لمخرجين بعينهم للهلس والهفا ثوب جديد واهو تغير برضه,1
فانتازيا عاطفيه نفسيه خفيفه الخيال نعمه الله يتمتع فقد ملك الدنيا كلها تصور والتر ميتي الحياه وانغمس عالم الحيال مختارا عدم المواجهه وعدم الاحتاك بارض الواقع وسجن نفسه مخيلته داخل حياته السريه قصه قصيره الخيال مليءه بالفانتازيا العاطفيه نشرت عام ولاقت اثرا كبيرا لدي القراء وقد قدمت سابقا عام الاسم الاصلي للروايه وقام باخراجه المخرج ففي لمحه انسانيه جميله يقدمها الممثل ستيلر العام خلال فيلمه يحمل العنوان تاليف ستيفه كونراد وجيمس ثيربر الموظف والتر ستيلر يري ان حياته سقيمه فيهرب بالاحلام والخيال ويسبح معهما وعندما يجد نفسه مهدد بالفصل عمله فقط يطرق باب الواقع بكل مافيه حقيقه ويحاول انقاذ وظيفته وحياته بمغامره شيقه مليءيه بالاثاره خلال لوحه فنيه جميله يقدمها ستلير الخيال الجميل والواقع الاليم يتناول مشكله هامه يواجهها العديد مننا وهي الهروب الواقع بكل واللجوء لاحلام الياقطه كحل مءقت فعال ويطرق خلال سيناريو بسيط سلسل العديد المواقف والمشاهد اليوميه تحدث حياه الموظف موضحا كيفيه هروبه حياته الي الخيال والانغماس بشكل كبير وصور بشكل مرضي ولم يلجا الي التطويل سرد اي معلومات حياه والتر استغرق مشهد او مشهدين فقط وكيف ان الافراط يءدي الي عواقب شديده يحمد عقباها فنلاحظ فشل والتر التعرف بزميلته بالعمل ويلجا للخيال تاره وللكدب تاره اخري حتي يسترضي نفسه عندما تحين الفرصه ويجد نفسه ساحه المعركه وحيدا المواجهه وانهك نفسه البحث الصوره ستنقذ حياته ولم يستسلم ابدا بن ستيلر كممثل ادي شخصيه والتر بشكل راءع كعادته وبالرغم انني احسست انني اشاهده فيلمه السابق والخيال والتهيءات يعيش الا انه اضاف الحراره والاحساس البالغين للشخصيه بالاضافه وتاتي باقي شخصيات العمل اضفت الاخري متعه حقيقيه للاحداث بدا الممثله كريستين ويج ودور شيرل وكيف بدات مشتته تعرف واجهه تريده الاخري ايضا رسم شخصيه مدير المجله وطريقه القاءه ولحيته دفعت لتكوين شخصيه بارده وياتي النهايه دور النجم شون بن يحمل بداخله حياه واسعه وعالم رحب المءلفان للمشاهد مساحه بقليله ليتخيل الاخر الشخص الاغنيه الجميله دفع ستيلر الاحداث كانت اجمل الاشياء تحسب للفيلم بالاضافه الي الزج ببعض المشاهد الكوميديه اعتاد ستيلر ان يعتمد عليها افلامه باخراجها او بالتمثيل الفيلم يستحق ان يشاهد يحتوي علي اي مشاهد او احاديث تمنع سنه لمشاهدته,1
توليفه دراميه بنكهه اجتماعيه يعتبر فيلم نوع السينما الاجتماعيه الجاده تحاول ان تحلل وتحاكي الواقع وتسرد احساس التغير الطبقات والعلاقات الاجتماعيه المختلفه خلال فتره زمنيه معينه وذلك الصحفيه سكيتر فيلان ايما تقرر ان تكتب تقريرا صحفيا كيفيه معامله الخادمات الزنوج والتغلغل الحياه الشخصيه لكل منهن لتقديم صوره واقعيه يحدث انتهاكات وعنصريه وقد قدم الفيلم مناقشه فنيه جيده يستحقها الا عمل فني حقيقي ومحترم ولم تكن اي سطحيه عرض الحقاءق وكان خطان رءيسيان للبناء الدرامي اعتمد الخط الاول علي رءيه هءلاء الاشخاص المتمثلين البيض والاثرياء ومعاملتهم للخدم السود الزنوج والحياه الواقعيه السياسيه وتوثيق حدث لهءلاء الزنوج عنصريه وكيف استطاعوا ان يحطموا القيود وتمثل الخط الثاني عرض حياه هءلاء الاثرياء والي ادي اعتمادهم الشديد علي الخادمات تربيه ابناءهم وقد ادهشني اسلوب الممثله فيولا ديفيس والتي قدمت دور الخادمه ابيلين كلارك وكيف استطاعت ان تصمد امام يحدث واستمدت شجاعتها وقوتها الاحداث المءلمه مرت وشاركتها الاسلوب المميز الممثله اوكتافيا سبنسر ودور الخادمه ميني والتي تقف مكتوفه الايدي وقررت ان تاخذ حقها بنفسها بان تضع غاءطها طعام سيدتها لتجبرها علي احترامها وكنوع العقاب علي اقدمت حقها الفيلم عباره توليفه الدراما والتراجيديا تجعلك تبكي وتفرح وتحزن وتغضب ان يقل قيمه او شجاعه العديد الاعمال ناقشت مشكله الزنوج والعنصريه,1
فيلا الامل سر الحياه فيلم فيلا الافلام القليله المصريه تصلح للعرض مشاهدتها يطلق عليها ايضا سينما المهرجانات اي تشارك المهرجانات السينماءيه الدوليه فقط اعرف حقيقا سبب الفجوه الفيلم التجاري الفيلم المهرجاني فلماذا يجتمع الصفتان فيلم بدايات السينما المصريه فيلم فيلا تاليف محمد الحاج اخراج ايتن امين بطوله خالد ابو النجا لبلبه اروي جوده تدور احداث الفيلم حول حسين صاحب احد الماكتب الهندسيه يعيش عزله اختياريه يعيش منعزلا الناس حتي تحاول شقيقته نادره العيش معه حفيدها وتتوالي الاحداث الفيلم يعد التجربه الاولي للمخرجه ايتن امين السينما الرواءيه الطويله يشاهد الفيلم يعتقد بانها تملك الخبره عشرات الافلام الفيلم تم تنفيذه باحترافيه عاليه جوده نادرا تجدها السينما الحاليه فالفيلم يناقش الحياه اوجهها الامل يدعم الحياه بالطاقه فلانسان يحيا لابد ان يعيش طريق الامل يعتبر سر الحياه فكره الفيلم كانت واضحه اكثر مشهد المشاهد الراءعه مشهد حسين عندما يركب السياره يسير وسط البلد حفيد شقيشقته القاءد لهذه السياره فيحمل الكثير الدلالات حتي اختيار الاماكن سارت السياره كسيرها ميدان التحرير فالبطل مصاب بمرض خطير عجل بوفاته فياس الحياه يقرر الاعتزال يجد شابا يخرجه عزلته فكره بسيطه لكنها صيغت بشكل يجعلك تخرج دار العرض مفعما بالرغبه الحياه العمل اين امين الموهبه حديثه التخرج الجانعه الامريكيه قسم الاخراج استخدمت اتيح تخرج العمل باحسن صوره اوصلت العديد الرساءل مشاهد واحده مخرجه تمكنت ادواتها السيطره عليها بشده حدث تناغم ينسي بينها الفنان خالد ابو النجا قدم اهم دور تاريخه الفني اندمج خالد حسين تم تقديم شخصيه غايه الاتقان امسك خالد بجميه خيوطها التفاصيل الصغيره فهذه خطوه مهمه مشواره الفني لبلي كعادتها جاء اداءها سلس طبيعيا خالي الانفعالات اروي جوده فكانت راءعه وبرغم الايجابيات نستطيع اغفال سلبيات السيناريو اهماله لحياه حسين الشخصيه معرفه سبب طلاقه ظروف زواجه ايضا طبيعه العلاقه سناء حسين سر كره نادره فهذه الاشياء اهملها السيناريو بشده اما الديكور اموسيقي فكانت ابطال الفيلم حدث تناغم بينهم الصوره ادي الي ميلاد الفيلم,1
الفيلم اكثر راءع انها احسن وانجح افلام شاروخان والفيلم ناجح بنسبه مزيج الرومانسيه والكومديا والاكشن والدراما واثبت شاروخان بالفعل بانها ممثل راءع ويستحق بان يقال عليها بانها افضل ممثل هندي علي الاطلاق افضل ممثلين العالم وقصه الفيلم تدور حول الشاب توفي جده ويجب انا ينثر رماده احد الانهار الهندي ويقابل فاته صدفه غريبه وتحدث بينهما قصه حب راءعه وحقق الفيلم ناجح كبير دور العرض بسينمات مصر ويجب انا يستمر لفتره كبيره دور العرض وهذا سيدل علي انا بالفعل عرض الافلام الهندي مصر سابق عهده وبالنسبه لشاروخان فنا لهوا محبيب يعدد كبير جدا مصر ولقد بعمل ممتاز الفيلم وايضا الفيلم يحتوي علي اغاني راءعه وجميله جدا وان الفيلم متاحه لمشاهده افراد الاسره وبالفعل الفيلم يستحق لقب افضل افللام بليود وشكرا لكل ساهموا عوده الافلام الهنديه الي دور العرض مصر,1
الفن بنكهه ميريل ستريب الاروع تاريخ الكراهيه ابداه الاميركيون فرنسا بسبب الاشتراكيه احيانا وسخريه نمط الحياه احيانا اخري حتي انهم اطلقوا عليهم وقت القرده اكله الجبن يكن عاءقا امام المخرجه الراءعه نورا ايفرون لعمل فيلم جولي جوليا جوليا تشايلد اشهر قدمت اصول المطبخ الفرنسي منتصف القرن الماضي وجولي بويل صاحبه اشهر مدونه اصول الطبخ الفرنسي الولايات المتحده تعتمد قصه الفيلم علي السيره الذاتيه لجوليا تشايلد والمدونه الشخصيه لجولي بويل مزج بديع الماضي والحاضر لكاتبه السيناريو ومخرجه العمل نورا ايفرون تجيد علي اظن فن عمل الزجاج المعشق متعدد الالوان فتنساب المشاهد القصتين سهوله ويسر ويكتفي المتفرج بالتقاط المتعه المقدمه الجانبين يزيد المتعه اداء الهه التمثيل العالم النجمه ميريل ستريب المبهر وتقمصها لشخصيه جوليا تشايلد الطفله الاربعين عاما وبلهجه وطبقه صوت غريبه تجبر المتفرج علي اعاده تدقيق النظر اكثر مره للتاكد انها نجمته المفضله ميريل ستريب وبمشاركه متميزه جدا للنجم ستانلي توشي دور الزوج الدبلوماسي يعشق زوجته ويعاني فتره الاضطهاد الحكومي لكنه يحيا اجل سعادتها اداء اجبرني فرط سهولته علي ان احلم بان اكون زوجا مثله راي اروع الازواج علي الاطلاق اما النجمه ايمي ادمز فكانت اشبه بالمحرك لسياره عظيمه باداء قوي وممتع خاصه التحولات العصبيه للشخصيه قمه الملل لقمه النشاط الياس والطموح عشق زوجها الي اهماله العوده لاحضانه الزوج ادي دوره كريس ميسينا فتالق تبعا لكوكبه النجوم المشعه حوله فيلم جولي جوليا احد الافلام تترك فمك حاجه الي علاج انتهاءه حتي تتمكن اغلاقه لفرط الدهشه والاعجاب بساطه القصه وروعه التحدي الشخصي بداخلها الي براعه اصحاب العمل تجد نفسك نهايه الفيلم عاشقا لفن الطبخ حالما بمجرد مصافحه جولي جوليا يبقي فقط ان انحني للنجمه المبهره ميريل ستريب معيدا قول صديقي انها ان قامت باداء دور طفله العاشره عمرها فستجبرني علي تصديقها,1
تالق ينادي الجميع اسطوره غريبه ظلت وستظل عقول العديد شخصيه خياليه يطلق عليها النداهه تنادي علي احد الاشخاص فيتبعها وتسيطر علي عقله وفكره تزهق روحه اي سبب يذكر قصه توارثتها الاجيال وقام الراءع يوسف ادريس بنسج اقصوصه بسيطه عنها تحمل الاف المعاني الجميله ياتي المءلف مصطفي كمال ليبهرنا بترجمتها الي سيناريو وحوار يقدمه ويخرجه المبدع حسين كمال خلال فيلم يحمل اسم القصه النداهه واذا ذكرنا قصه يوسف ادريس والمذاق الخاص يتبعه داءما تصوير حياه ابطال قصصه والحاله الشعريه يرسم الشخصيات ويجعلك تعيش عالمه الخاص فلابد ان نذكر ايضا الطعم الخاص للمخرج حسين كمال صور الحاله لقطات ومشاهد تكاد تنطق واضاف بهاراته اليها وجعل الصراع الداخلي لبطله العمل واقع اليم وتغلغل مصطفي كمال الحياه الشخصيه للابطال فسرد حياه الفلاحه فتحيه ماجده ظلت تحلم بالسفر الي القاهره وتزوجت البواب حامد كوسيله لتحقيق غايتها الوحيده وفي مشهد قوي التاثير شقه الدعاره بالعماره يعمل حامد يزيد الدلاله علي طهاره فتحيه ويجعله خامه لتقديم مشهد الاعتداء عليها وكيف اثر شخصيه فتحيه وغير بداخلها القاهره ويكتمل العمل بديكور يزيد جماليات الصوره ويجعله مناسب للاحداث خاصه غرفه البواب حامد تصوير القاهره وشوارعها اما بالنسبه للاداء التمثيلي فاعتقد ان دور فتحيه افضل الادوار السينماءيه قدمتها الفنانه ماجده وكذلك الفنان شكري سرحان ولم يءثر دور ايهاب نافع وانما مفتعلا الشيء خاصه محاولات تعرفه وتقربه لزوجه البواب فتحيه اغنيه النداهه والتي غنتها المطربه ليلي جمال كانت مناسبه جدا ودلت علي يدور خلد فتحيه ولكني اعتقد ان ذكرها وقت ومع مشهد شيء مبالغ جدا,1
تاثرت بالفيلم مبدايا النهايه جيده جيده فلم افهم يقصد لوك بيسون بتلك النهايه شاهد الفيلم يفهم قصدي فنهايه الفيلم تعبر ديانه صانعيه يجدوا حرجا مناقشه الاشياء لكنها تكون جيده لمن يفهمها بشكل اخر علي عكس استقبلتها انا شخصيا فالنهايه اختلفنا او اتفقنا فهي مءثره تدفعك للتفكير العميق مشاهده الفيلم حد ذاته نجاح ثانيا طاقم الممثلين الاخراج علي مستوي عالي الحرفيه ابتداءا العملاق مورجان فريمان ظهر بمشاهد بالكثيره تكاد تكون اربعه مشاهد وجوده خاصه مشهد النهايه اعطي لنهايه الفيلم رونقها يستطيع احد انكار تالق الجميله سكارليت جوهانسون مشاهدها بلا استثناء المصري عمرو واكد الكوري تشوي سيك الذان تالقا ادوارهما كنت اتمني اعطاء مساحه اكبر لشخصيه عمرو واكد الفيلم علي الرغم تالقه الدور نجاحه توصيل شعوره لوسي مشاركته لمورجان فريمان مشهد النهايه بشكل راءع يكفي بد ان اعطي اشاده بالادوار الصغيره الفيلم الرجال قامو بنقل المواد المخدره اجسامهم قاموا باضافه ايجابيه احداث الفيلم اما الموسيقي فهي اجمل الفيلم بتاليفها الراءع Serraالذي اسمع عنه فقام بتاليف موسيقي بسيطه مفتعله اهتم بالجمل اللحنيه الغامضه ابتعد الزخرفه الموسيقيه الفارغه فالموسيقي كانت عوامل التاثير الفيلم الفيلم كحاله عامه راءع اعطيه,1
راءع قدم نور الشريف المهنه تسطيع ابدا فصلها الواقع الواقع نفسه ساءق الاتوبيس يعيش الاجواء الحياه ويتعامل الاف الناس يوم الجميل الفيلم انه بطوله رجل حتي نور نفسه بطوله جماعيه بكل ادوار صغيره كانت جديره بان تصفق نهايه الفيلم مرفيت امين عماد حمدي حسن حسني شعبان حسين صفاء السبع الخ يكن احد راءعا واعتقد ان الفضل يرجع لعاطف الطيب خلق الانسجام والتركيز الادوار وحسن اختيار للمثلين حتي الادوار الصغيره قلت قدم بشير الديك نمزج للسيناريو المتماسك الراءع بدايه ونهايه وتصاعد الاحداث نقاط الممكن ان تجدها سيناريو قدم مدير التصوير سعيد الشيمي كعادته وكصديق الدرب لعاطف الطيب واحده افضل افلامه استطاع نقل الناس والحياه تللك الاسلوب المتميز يعيه جيدا عاطف الطيب ومحمد خان والاخير كاتب تللك القصه سعيد الشيمي لديه قدره علي تنفيذ صعب ولعللك خلال كتابه الراءع افلامي عاطف الطيب ان تعرف قيمته كمصور وقيمه عاطف الطيب كمخرج كبير ينسي مشهد اول الفيلم بمنتهي الروعه والواقعيه تحسد عليها سعيد الشيمي وعاطف معا لتللك السيده تقع الاتوبيس اثناء الزحام ربما تجد لقطه معبره تستطيع ان تضع نقاط هامه اجابتك حدث الموسيقي التصوريه الراءعه لكمال بكير ممتازه اهم يميزها ذللك الشجن الداءم وتصاعدها الاحداث وهي مميزات الفيلم ايضا النهايه شكرا جزيلا لكل قدم التحفه السينماءيه شكرا لمن قدم سواق الاتوبيس,1
